车ID,O_time,O_lng,O_lat,D_time,D_lng,D_lat
586453,2017-12-03 23:59:53,116.281088,39.835292,2017-12-04 00:02:57,116.277245,39.855675
164430,2017-12-03 23:59:54,116.536957,39.940322,2017-12-04 00:02:58,116.501925,39.936575
566427,2017-12-03 23:59:53,116.229287,39.923557,2017-12-04 00:02:59,116.200815,39.922093
159421,2017-12-04 00:02:01,116.432895,39.987518,2017-12-04 00:02:59,115.94161,39.821707
585042,2017-12-03 23:59:54,116.511066,39.921917,2017-12-04 00:03:00,116.511475,39.930366
156406,2017-12-04 00:02:49,116.375778,39.931744,2017-12-04 00:03:00,116.192622,39.792512
159432,2017-12-03 23:59:59,116.516948,40.023568,2017-12-04 00:03:00,116.536208,40.035368
174938,2017-12-04 00:02:57,116.367323,39.94738,2017-12-04 00:03:00,116.30396,39.850045
156494,2017-12-04 00:02:55,116.411483,39.917743,2017-12-04 00:03:01,116.34756,39.876149
194190,2017-12-04 00:00:01,116.545157,39.834927,2017-12-04 00:03:01,116.53821,39.844687
164770,2017-12-04 00:02:14,116.407419,39.912884,2017-12-04 00:03:03,116.104923,39.662882
164819,2017-12-04 00:02:07,116.59298,39.911253,2017-12-04 00:03:03,116.095453,39.645908
492229,2017-12-04 00:00:00,116.232335,39.857672,2017-12-04 00:03:05,116.250843,39.84963
156427,2017-12-04 00:02:05,116.599623,39.914052,2017-12-04 00:03:05,116.2378,40.047372
490906,2017-12-03 23:59:56,116.319298,40.06999,2017-12-04 00:03:07,116.333635,40.073472
164831,2017-12-04 00:02:13,116.367848,39.863437,2017-12-04 00:03:06,116.431953,39.566065
301034,2017-12-03 23:59:58,116.230075,39.958278,2017-12-04 00:03:09,116.238417,39.964807
156406,2017-12-04 00:03:02,116.373523,39.931679,2017-12-04 00:03:09,116.191883,39.790825
426039,2017-12-04 00:00:25,116.462943,39.915271,2017-12-04 00:03:01,116.459874,39.921902
214187,2017-12-04 00:00:01,116.276445,39.896026,2017-12-04 00:03:11,116.267619,39.890912
453332,2017-12-04 00:00:03,116.326543,39.736251,2017-12-04 00:03:11,116.33013,39.734226
194404,2017-12-03 23:59:53,116.41489,39.91073,2017-12-04 00:03:11,116.414627,39.910688
174938,2017-12-04 00:03:07,116.364862,39.947187,2017-12-04 00:03:12,116.30396,39.850045
156494,2017-12-04 00:03:07,116.411517,39.917472,2017-12-04 00:03:13,116.34756,39.876149
403577,2017-12-03 23:59:42,116.408152,40.08078,2017-12-04 00:03:13,116.407085,40.08417
156473,2017-12-04 00:02:13,116.483867,39.91596,2017-12-04 00:03:14,116.163207,39.806893
164807,2017-12-04 00:02:23,116.520552,39.915968,2017-12-04 00:03:11,116.408692,39.453693
156451,2017-12-04 00:01:46,116.649381,40.212864,2017-12-04 00:03:15,116.219727,39.977278
486245,2017-12-03 23:59:57,116.256405,39.895815,2017-12-04 00:03:17,116.217582,39.899365
453452,2017-12-03 23:59:54,116.274265,39.955691,2017-12-04 00:03:18,116.288612,39.950045
489633,2017-12-03 23:59:54,116.358312,39.966332,2017-12-04 00:03:18,116.38003,39.98097
431156,2017-12-03 23:59:58,116.36712,40.102345,2017-12-04 00:03:18,116.363698,40.111222
164551,2017-12-03 23:59:59,116.359248,39.94507,2017-12-04 00:03:17,116.34935,39.93377
492195,2017-12-03 23:59:55,116.366756,39.947428,2017-12-04 00:03:19,116.36665,39.932314
100194,2017-12-04 00:02:22,116.508528,40.010983,2017-12-04 00:03:18,116.438568,39.895152
83473,2017-12-04 00:00:00,116.412826,39.950778,2017-12-04 00:03:22,116.410744,39.960691
174938,2017-12-04 00:03:18,116.362402,39.946453,2017-12-04 00:03:24,116.303867,39.850105
156428,2017-12-04 00:02:31,116.199445,39.923498,2017-12-04 00:03:24,116.469913,39.70318
185749,2017-12-03 23:59:59,116.400205,39.89938,2017-12-04 00:03:24,116.400875,39.913865
156406,2017-12-04 00:03:14,116.371663,39.931576,2017-12-04 00:03:24,116.19048,39.787897
156494,2017-12-04 00:03:19,116.411517,39.917472,2017-12-04 00:03:25,116.347579,39.876324
486328,2017-12-03 23:59:54,116.438438,39.922014,2017-12-04 00:03:26,116.451998,39.913122
164534,2017-12-03 23:59:56,116.328173,39.896018,2017-12-04 00:03:27,116.306152,39.896406
495378,2017-12-03 23:59:53,116.415603,39.82641,2017-12-04 00:03:27,116.434154,39.803332
495397,2017-12-04 00:00:01,116.319957,39.931188,2017-12-04 00:03:24,116.304568,39.931172
156482,2017-12-04 00:02:33,116.413678,39.885214,2017-12-04 00:03:27,115.982323,39.645887
199634,2017-12-03 23:59:53,116.425645,39.957862,2017-12-04 00:03:27,116.408082,39.957727
489598,2017-12-04 00:00:03,116.45503,39.882194,2017-12-04 00:03:27,116.451646,39.868981
572546,2017-12-03 23:59:54,116.307193,39.86129,2017-12-04 00:03:29,116.301408,39.859067
157452,2017-12-03 23:59:55,116.455157,39.892123,2017-12-04 00:03:25,116.463538,39.8873
487243,2017-12-03 23:59:56,116.483745,39.931792,2017-12-04 00:03:30,116.492454,39.921547
164587,2017-12-03 23:59:56,116.538915,39.905164,2017-12-04 00:03:31,116.532761,39.896898
187784,2017-12-03 23:59:53,116.277195,39.849545,2017-12-04 00:03:31,116.277698,39.853293
129326,2017-12-03 23:59:57,116.400918,39.993502,2017-12-04 00:03:31,116.413797,39.992832
164819,2017-12-04 00:03:07,116.59298,39.911253,2017-12-04 00:03:31,116.59298,39.911253
95304,2017-12-04 00:00:10,116.428025,39.926875,2017-12-04 00:03:28,116.424207,39.915673
184088,2017-12-04 00:00:01,116.342727,39.882623,2017-12-04 00:03:33,116.333848,39.887503
585947,2017-12-03 23:59:47,116.36417,39.956563,2017-12-04 00:03:27,116.369892,39.960268
489535,2017-12-03 23:59:59,116.333305,39.9853,2017-12-04 00:03:35,116.33108,39.983318
156406,2017-12-04 00:03:26,116.370895,39.931558,2017-12-04 00:03:36,116.188682,39.785953
174938,2017-12-04 00:03:30,116.359825,39.945358,2017-12-04 00:03:36,116.303867,39.850105
156494,2017-12-04 00:03:31,116.411517,39.917472,2017-12-04 00:03:37,116.347635,39.877312
164805,2017-12-04 00:02:40,116.313387,39.922568,2017-12-04 00:03:39,116.261677,39.715812
431342,2017-12-03 23:59:55,116.360712,39.882052,2017-12-04 00:03:43,116.35985,39.892778
403115,2017-12-03 23:59:53,116.342378,39.893683,2017-12-04 00:03:44,116.335752,39.878122
125411,2017-12-03 23:59:47,116.341368,39.966162,2017-12-04 00:03:47,116.365445,39.954028
453397,2017-12-04 00:00:03,116.133625,39.740512,2017-12-04 00:03:47,116.115715,39.733805
156406,2017-12-04 00:03:38,116.370886,39.931559,2017-12-04 00:03:47,116.18635,39.784673
155174,2017-12-04 00:00:01,116.342847,39.882897,2017-12-04 00:03:48,116.32606,39.897367
174938,2017-12-04 00:03:41,116.357587,39.944612,2017-12-04 00:03:48,116.303867,39.850105
164832,2017-12-04 00:02:57,116.323682,39.895778,2017-12-04 00:03:48,116.630628,40.1994
156494,2017-12-04 00:03:43,116.411517,39.917472,2017-12-04 00:03:49,116.347543,39.878424
492135,2017-12-03 23:59:59,116.229838,39.903056,2017-12-04 00:03:49,116.236365,39.915342
403285,2017-12-03 23:59:57,116.318685,39.88883,2017-12-04 00:03:47,116.314802,39.887967
154865,2017-12-04 00:00:00,116.331495,39.997892,2017-12-04 00:03:52,116.316832,40.011987
77447,2017-12-03 23:59:54,116.3627,40.107813,2017-12-04 00:03:54,116.363553,40.106592
156406,2017-12-04 00:03:49,116.370882,39.931559,2017-12-04 00:03:57,116.18394,39.784018
159421,2017-12-04 00:03:07,116.417615,39.987587,2017-12-04 00:03:59,115.941493,39.821723
194291,2017-12-03 23:59:57,116.471782,39.913497,2017-12-04 00:04:00,116.471362,39.893232
156494,2017-12-04 00:03:55,116.411572,39.916747,2017-12-04 00:04:01,116.347493,39.879626
194381,2017-12-04 00:00:01,116.379157,39.947307,2017-12-04 00:04:01,116.39246,39.942543
127467,2017-12-04 00:00:15,116.444328,39.932912,2017-12-04 00:04:01,116.447698,39.93776
174938,2017-12-04 00:04:03,116.352888,39.943345,2017-12-04 00:04:03,116.303867,39.850105
164770,2017-12-04 00:03:02,116.407611,39.910352,2017-12-04 00:04:03,116.104923,39.662882
431355,2017-12-03 23:59:54,116.462317,39.870078,2017-12-04 00:04:04,116.444688,39.869513
156427,2017-12-04 00:03:05,116.599138,39.917342,2017-12-04 00:04:04,116.237808,40.047371
25840,2017-12-03 23:59:56,116.348507,39.896873,2017-12-04 00:03:59,116.296135,39.897118
156406,2017-12-04 00:04:02,116.369587,39.931501,2017-12-04 00:04:07,116.181495,39.783602
155048,2017-12-03 23:59:58,116.258433,39.876265,2017-12-04 00:04:08,116.251928,39.869617
453478,2017-12-03 23:59:57,116.599088,40.045158,2017-12-04 00:04:09,116.61148,40.046753
